subject|wiki_link|summary
"Simón Bolívar"|"https://en.wikipedia.org/wiki/Simón_Bolívar"| "Simón José Antonio de la Santísima Trinidad Bolívar Palacios Ponte y Blanco (24 July 1783 – 17 December 1830) was a Venezuelan military and political leader who led what are currently the countries of Colombia, Venezuela, Ecuador, Peru, Panama and Bolivia to independence from the Spanish Empire. He is known colloquially as El Libertador, or the Liberator of America. Simón Bolívar was born in Caracas in the Captaincy General of Venezuela into a wealthy family of American-born Spaniards (criollo), but lost both parents as a child. Bolívar was educated abroad and lived in Spain, as was common for men of upper-class families in his day. While living in Madrid from 1800 to 1802, he was introduced to Enlightenment philosophy and married María Teresa Rodríguez del Toro y Alaysa, who died in Venezuela from yellow fever in 1803. From 1803 to 1805, Bolívar embarked on a Grand Tour that ended in Rome, where he swore to end the Spanish rule in the Americas. In 1807, Bolívar returned to Venezuela and promoted Venezuelan independence to other wealthy creoles. When the Spanish authority in the Americas weakened due to Napoleon's Peninsular War, Bolívar became a zealous combatant and politician in the Spanish American wars of independence. Bolívar began his military career in 1810 as a militia officer in the Venezuelan War of Independence, fighting Royalist forces for the first and second Venezuelan republics and the United Provinces of New Granada. After Spanish forces subdued New Granada in 1815, Bolívar was forced into exile on Jamaica. In Haiti, Bolívar met and befriended Haitian revolutionary leader Alexandre Pétion. After promising to abolish slavery in Spanish America, Bolívar received military support from Pétion and returned to Venezuela. He established a third republic in 1817 and then crossed the Andes to liberate New Granada in 1819. Bolívar and his allies defeated the Spanish in New Granada in 1819, Venezuela and Panama in 1821, Ecuador in 1822, Peru in 1824, and Bolivia in 1825. Venezuela, New Granada, Ecuador, and Panama were merged into the Republic of Colombia (Gran Colombia), with Bolívar as president there and in Peru and Bolivia. In his final years, Bolívar became increasingly disillusioned with the South American republics, and distanced from them because of his centralist ideology. He was successively removed from his offices until he resigned the presidency of Colombia and died of tuberculosis in 1830. His legacy is diverse and far-reaching within Latin America and beyond. He is regarded as a hero and national and cultural icon throughout Latin America; the nations of Bolivia and Venezuela (as the Bolivarian Republic of Venezuela) are named after him, and he has been memorialized all over the world in the form of public art or street names and in popular culture."
"Juan Domingo de Monteverde"|"https://en.wikipedia.org/wiki/Juan_Domingo_de_Monteverde"| "Juan Domingo de Monteverde y Rivas (born Juan Domingo de Monteverde; 2 April 1773  – 15 September 1832), commonly known as Domingo de Monteverde, was a Spanish soldier, governor and Captain General of Venezuela from June 1812 to 8 August 1813. Monteverde was the leader of Spanish forces in the Venezuelan War of Independence from 1812 to 1813. Monteverde led the military campaign that culminated in the fall of the First Republic of Venezuela in 1812. One year later in 1813, Monteverde was defeated by Simón Bolívar during the Admirable Campaign."
"The Siege of Melila"|"https://en.wikipedia.org/wiki/Siege_of_Melilla_(1774%E2%80%931775)"|"In 1773, the Sultan Mohammed III sent the artillery commander Sidi Tahar Fenis as ambassador to Great Britain to acquire military equipment. On September 19, 1774 he sent a letter to Charles III with this matter, saying that peace between them could only be by sea. Therefore, Charles III declared war on the sultanate on 23 October 1774. Then the governor of Melilla was José Carrión de Andrade. In the city, there was a scarce garrison, which consisted of the fixed regiment of Melilla, with the companies commanded by the captains Antonio Manso and Vicente de Alva, and detachments for the handling of the old iron artillery pieces. Between September and October 1774, a commission made up of the field marshal Luis Urbina Caneja, the engineer Luis Caballero (who was later during the siege) and the engineer commander Luis Ailmen, was in Melilla to prepare a report on defensive improvements in the square. Charles III ordered to reinforce the defenses of Ceuta and Oran, due to a possible Ottoman attack. At the end of November, the Spanish learned that the Sultan had planned to conquer Melilla. To reinforce the defense, Charles III sent Juan Sherlock to Melilla as commander and reinforced the garrison. With the promise of British subsidies and material aid for a war against Spain, Mohammed ben Abdallah assembled an army of 30,000 to 40,000 men and powerful artillery in 1774 and began a bombardment of Melilla. Juan Sherlock sent the mariner Juan Trinquini to Malaga to request reinforcements from Andalusia. On 11 December, a French ship arrived in Melilla with reinforcements from the peninsula. The ship left the city on 16 December with part of the civilian population. For defense, 117 new guns and mortars were installed. Tomás de Find, Charles III's major artilleryman, took charge of the maintenance of the artillery. Two Spanish squads, commanded by Antonio Barceló and José Hidalgo de Cisneros, blocked the Strait of Gibraltar to prevent Great Britain from supplying weapons and ammunition to the Muslim troops. A small garrison under Florencio Moreno likewise resisted the Sultan's army at Peñón de Vélez de la Gomera. In 1775, a British convoy carrying war material en route to Melilla was intercepted and captured by the Spanish Navy and Spanish sail approached the beleaguered city; at the same time the Turks of the Ottoman Empire began to encroach on Morocco's eastern borders. Spanish troops resisted the attack over a period of 100 days, over which time some 12,000 projectiles were lobbed onto the city. Sherlocke began to break the siege, a situation exacerbated by the desertion of ben Abdallah's Algerians. The siege ended on 19 March. There was a meeting between Juan Sherlock and the diplomat Hamed al-Gazel, where he told him that the Sultan wanted to maintain friendly relations and resume trade under more advantageous conditions than in the previous treaty. On 20 December 1777, Morocco recognised the United States as an independent nation. With the Peace of Aranjuez in 1780, Spain ceded territories to Morocco, however in return Morocco recognized Spanish rule over the remainder of Melilla."
"The Livingston family"|"https://en.wikipedia.org/wiki/Livingston_family" | "The Livingston family of New York is a prominent family that migrated from Scotland to the Dutch Republic, and then to the Province of New York in the 17th century. Descended from the 4th Lord Livingston, its members included signers of the United States Declaration of Independence (Philip Livingston) and the United States Constitution (William Livingston). Several members were Lords of Livingston Manor and Clermont Manor, located along the Hudson River in 18th-century eastern New York. Descendants of the Livingstons include Presidents of the United States George H. W. Bush and George W. Bush, First Lady of the United States Eleanor Roosevelt, suffragist Elizabeth Cady Stanton, Congressman Bob Livingston of Louisiana, much of the wealthy Astor family, New York Governor Hamilton Fish, actor Montgomery Clift, and actress Jane Wyatt. The eccentric Collyer brothers are alleged to have been descended from the Livingston family. The Livingston family's burial crypt was established in 1727 at Livingston Memorial Church and Burial Ground in New York. Liberty Hall (also known as the William Livingston House) is the home built by New Jersey Governor William Livingston, a signatory of the Constitution. Located in Elizabethtown, New Jersey, it has been designated as a National Historic Landmark, and it is operated as a museum within the Liberty Hall Campus of Kean University."
"Girondins"|"https://en.wikipedia.org/wiki/Girondins" | "The Girondins, or Girondists, were a political group during the French Revolution. From 1791 to 1793, the Girondins were active in the Legislative Assembly and the National Convention. Together with the Montagnards, they initially were part of the Jacobin movement. They campaigned for the end of the monarchy, but then resisted the spiraling momentum of the Revolution, which caused a conflict with the more radical Montagnards. They dominated the movement until their fall in the insurrection of 31 May – 2 June 1793, which resulted in the domination of the Montagnards and the purge and eventual mass execution of the Girondins. This event is considered to mark the beginning of the Reign of Terror. The Girondins were a group of loosely affiliated individuals rather than an organized political party and the name was at first informally applied because the most prominent exponents of their point of view were deputies to the Legislative Assembly from the département of Gironde in southwest France. Girondin leader Jacques Pierre Brissot proposed an ambitious military plan to spread the Revolution internationally, therefore the Girondins were the war party in 1792–1793. Other prominent Girondins included Jean Marie Roland and his wife Madame Roland. They also had an ally in the English-born American activist Thomas Paine. Brissot and Madame Roland were executed and Jean Roland (who had gone into hiding) committed suicide when he learned about the execution. Paine was imprisoned, but he narrowly escaped execution. The famous painting The Death of Marat depicts the fiery radical journalist and denouncer of the Girondins Jean-Paul Marat after being stabbed to death in his bathtub by Charlotte Corday, a Girondin sympathizer. Corday did not attempt to flee and was arrested and executed."
"French Revolution"|"https://en.wikipedia.org/wiki/French_Revolution" | "The French Revolution was a period of radical political and societal change in France that began with the Estates General of 1789 and ended with the formation of the French Consulate in November 1799. Many of its ideas are considered fundamental principles of liberal democracy, while the values and institutions it created remain central to French political discourse. Its causes are generally agreed to be a combination of social, political and economic factors, which the Ancien Régime proved unable to manage. In May 1789, widespread social distress led to the convocation of the Estates General, which was converted into a National Assembly in June. Continuing unrest culminated in the Storming of the Bastille on 14 July, which led to a series of radical measures by the Assembly, including the abolition of feudalism, the imposition of state control over the Catholic Church in France, and extension of the right to vote. The next three years were dominated by the struggle for political control, exacerbated by economic depression and civil disorder. Austria, Britain, Prussia and other external powers sought to restore the Ancien Régime by force, while many French politicians saw war as the best way to unite the nation and preserve the revolution by exporting it to other countries. These factors resulted in the outbreak of the French Revolutionary Wars in April 1792, abolition of the French monarchy and proclamation of the French First Republic in September 1792, followed by the execution of Louis XVI in January 1793. Following the Paris-based Insurrection of 31 May – 2 June 1793 the constitution was suspended and effective political power passed from the National Convention to the more radical Committee of Public Safety. An estimated 16,000 'counter-revolutionaries' were executed during the subsequent Reign of Terror, which ended with the so-called Thermidorian Reaction in July 1794. Weakened by a combination of external threats and internal opposition, in November 1795 the Republic was replaced by the Directory. Four years later in November 1799, the Consulate seized power in a military coup led by Napoleon Bonaparte. This is generally seen as marking the end of the Revolutionary period."
"Siege of Maastricht"|"https://en.wikipedia.org/wiki/Siege_of_Maastricht_(1793)" | "The siege of Maastricht was a failed siege of the city of Maastricht by the forces of the French First Republic from 6 February to 2 March 1793, marking the final action of the 1793 campaign of the War of the First Coalition. The city was successfully defended by the Dutch garrison with the assistance of a small band of French Royalists. On 29 November 1792, John Skey Eustace sent a letter to the commander of Maastricht (Prince Frederick of Hesse-Kassel) demanding the surrender of French emigrants who had taken refuge in this Dutch city. Then he personally visited Maastricht, where he dined with the German commander in Austrian service, as a result of which he was removed from command on 13 December and a few days later succeeded by Francisco de Miranda. It was the last of several French Republican sieges during 1792–1793. Inspired by military successes in the Austrian Netherlands, the French First Republic declared war on the Dutch Republic and England on 1 February 1793. General Charles-François Dumouriez invaded the Dutch Republic from the south-west, aiming for Breda, while Miranda advanced along the river Meuse towards the heavily-fortified city of Maastricht. Miranda hoped to take the city in a few days with only 15,000 men and invested it from the Wyck suburb side. The Dutch garrison of 4,500 men were led by the governor of Maastricht, Prince Frederick of Hesse-Kassel. They were assisted by around 1200 French Royalist of the Armée des Émigrés, including 300 officers, under the command of Jean Thérèse de Beaumont d'Autichamp, a former cavalry general of the French royal army. On 6 February, De Miranda completed the circumvallation of Maastricht and Wyck. Sapping took around two weeks, after which the city was heavily bombed for ten days. More than 800 buildings were destroyed. Jean-Marat accused Eustace and Miranda of the failure of the Siege of Maastricht, and Dumouriez planned to sent him to Paris to explain his behavior before the Convention Nationale. However, Eustace ignored the order and, claiming to be dangerously ill, retired to the Tongerlo Abbey, where he successfully resisted an attempt to question and arrest him. After the Austrian victory at the nearby Battle of Aldenhoven (1793) on 1 March, the French Republican lines were themselves besieged by 50,000 Austrians and 20,000 Prussians, led by Prince Josias of Saxe-Coburg-Saalfeld. Miranda ordered a retreat on 2 March, described by some as a 'flight'. On 4 September, the Prince of Coburg held a triumphal entrance in the city, followed by a Te Deum in the Church of Saint Servatius. A year and a half later, Jean-Baptiste Kléber was more successful. He conquered the city in 45 days, after which Maastricht was part of France for twenty years."
"Battle of Neerwinden"|"https://en.wikipedia.org/wiki/Battle_of_Neerwinden_(1793)" | "The Battle of Neerwinden (18 March 1793) saw a Republican French army led by Charles François Dumouriez attack a Coalition army commanded by Prince Josias of Saxe-Coburg-Saalfeld. The Coalition army of the Habsburg monarchy together with a small contingent of allied Dutch Republic troops repulsed all French assaults after bitter fighting and Dumouriez conceded defeat, withdrawing from the field. The French position in the Austrian Netherlands swiftly collapsed, ending the threat to the Dutch Republic and allowing Austria to regain control of its lost province. The War of the First Coalition engagement was fought at Neerwinden, located 57 kilometres (35 mi) east of Brussels in present-day Belgium. After Dumouriez's victory at Jemappes in November 1792, the French armies rapidly overran most of the Austrian Netherlands. Rather than driving the Austrians to the west bank of the Rhine River, Dumouriez and the French government became preoccupied with a war with the Dutch Republic. During the breathing space offered by her enemy, Austria assembled an army under the Prince of Coburg and struck back. After a French covering force was routed by Coburg at Aldenhoven, Dumouriez began gathering his army for a counterstroke. Coburg took up a defensive position at Neerwinden and awaited the confident Dumouriez's attack. The Coalition army was outnumbered in infantry but possessed a two-to-one superiority in cavalry. After intense fighting, Coburg's troops repulsed the attacks of the French center and right wing. When Dumouriez found that his left wing was driven off the battlefield, he began retreating. The defeat led to mass desertions from the discouraged French volunteers. In the face of the military collapse, Dumouriez negotiated a free withdrawal of French troops in return for the surrender of Belgium and Dutch territory. Soon, Dumouriez was plotting against his own government and when his plans failed, he defected to the Austrians, leaving the French army in chaos."
"The Reign of Terror"|"https://en.wikipedia.org/wiki/Reign_of_Terror" | "The Reign of Terror (French: la Terreur) was a period of the French Revolution when, following the creation of the First Republic, a series of massacres and numerous public executions took place in response to revolutionary fervour, anticlerical sentiment, and accusations of treason by the Committee of Public Safety. There is disagreement among historians over when exactly 'the Terror' began. Some consider it to have begun only in 1793, giving the date as either 5 September,[3] June[4] or March, when the Revolutionary Tribunal came into existence. Others, however, cite the earlier time of the September Massacres in 1792, or even July 1789, when the first killing of the revolution occurred. The term 'Terror' used to describe the period was introduced by the Thermidorian Reaction who took power after the fall of Maximilien Robespierre in July 1794, to discredit Robespierre and justify their actions. Today there is consensus amongst French historians that the exceptional revolutionary measures continued after the death of Robespierre, and this subsequent period is now called the 'White Terror'. By then, 16,594 official death sentences had been dispensed throughout France since June 1793, of which 2,639 were in Paris alone. An additional 10,000 to 12,000 people had been executed without trial and 10,000 had died in prison."
"Supreme Junta of Caracas"|"https://en.wikipedia.org/wiki/Supreme_Junta" | "The Supreme Junta (or Junta Suprema de Caracas) was the institution that governed the Captaincy General of Venezuela following the forced resignation of the Captain General Vicente Emparán on April 19, 1810, marking the beginning of the Venezuelan War of Independence. It lasted until March 2, 1811, when the first constituent congress of the First Republic of Venezuela was established. Following the events of the Revolution of April 19, 1810, the commanding General and other colonial officials designated by Joseph Bonaparte to oversee the Captaincy General of Venezuela, were deposed by an expanded municipal government in Caracas that called itself: the Supreme Junta to Preserve the Rights of Ferdinand VII (La Suprema Junta Conservadora de los Derechos de Fernando VII). One of the first measures taken by the revolutionaries, after securing the support of six provinces, was to send diplomatic missions abroad with the hope of gaining support and recognition for the revolution and that of the Supreme Junta of Caracas as the legitimate councillor of Venezuela in the absence of the King. Simon Bolivar along with Luis Lopez Mendez and Andres Bello as secretary, set sail for London from La Guaira in early June 1810. Juan Vicente Bolívar Palacios, brother of the Liberator, Jose Rafael Revenga and Telesforo Orea sailed for the United States, and had some success in gaining the interest of that country to support the Supreme Junta."
"1812 Caracas Earthquake"|"https://en.wikipedia.org/wiki/1812_Caracas_earthquake" | "The 1812 Caracas earthquake took place in Venezuela on March 26 (on Maundy Thursday) at 4:37 p.m. It measured 7.7 on the Richter magnitude scale. It caused extensive damage in Caracas, La Guaira, Barquisimeto, San Felipe, and Mérida. An estimated 15,000–20,000 people perished as a result, in addition to incalculable material damage. The seismic movement was so significant that in a zone named Valecillo, a new lake was formed and the river Yurubí was dammed up. Numerous rivulets changed their course in the Caracas valley, which was flooded with dirty water. Based on contemporary descriptions, the earthquake is believed to have consisted of two seismic shocks occurring within the span of 30 minutes. The first destroyed Caracas and the second Mérida, where it was raining when the shock occurred."
"Robert Morris"|"https://en.wikipedia.org/wiki/Robert_Morris_(financier)"|"Robert Morris Jr. (January 20, 1734 – May 8, 1806) was an English-born merchant and a Founding Father of the United States. He served as a member of the Pennsylvania legislature, the Second Continental Congress, and the United States Senate, and he was a signer of the Declaration of Independence, the Articles of Confederation, and the United States Constitution. From 1781 to 1784, he served as the Superintendent of Finance of the United States, becoming known as the 'Financier of the Revolution.' Along with Alexander Hamilton and Albert Gallatin, he is widely regarded as one of the founders of the financial system of the United States. Born in Liverpool, Morris migrated to North America in his teens, quickly becoming a partner in a successful shipping firm based in Philadelphia. In the aftermath of the French and Indian War, Morris joined with other merchants in opposing British tax policies such as the 1765 Stamp Act. By 1775 he was the richest man in America. After the outbreak of the American Revolutionary War, he helped procure arms and ammunition for the revolutionary cause, and in late 1775 he was chosen as a delegate to the Second Continental Congress. As a member of Congress, he served on the Secret Committee of Trade, which handled the procurement of supplies, the Committee of Correspondence, which handled foreign affairs, and the Marine Committee, which oversaw the Continental Navy. Morris was a leading member of Congress until he resigned in 1778. Out of office, Morris refocused on his merchant career and won election to the Pennsylvania Assembly, where he became a leader of the 'Republican' faction that sought alterations to the Pennsylvania Constitution. Facing a difficult financial situation in the ongoing Revolutionary War, in 1781 Congress established the position of Superintendent of Finance to oversee financial matters. Morris accepted appointment as Superintendent of Finance and also served as Agent of Marine, from which he controlled the Continental Navy. He helped provide supplies to the Continental Army under General George Washington, enabling, with the help of frequent collaborator Haym Salomon, Washington's decisive victory in the Battle of Yorktown. Morris also reformed government contracting and established the Bank of North America, the first congressionally chartered national bank to operate in the United States. Morris believed that the national government would be unable to achieve financial stability without the power to levy taxes and tariffs, but he was unable to convince all thirteen states to agree to an amendment to the Articles of Confederation. Frustrated by the weakness of the national government, Morris resigned as Superintendent of Finance in 1784. Morris was elected to the American Philosophical Society in 1786. In 1787, Morris was selected as a delegate to the Philadelphia Convention, which wrote and proposed a new constitution for the United States. Morris rarely spoke during the convention, but the constitution produced by the convention reflected many of his ideas. Morris and his allies helped ensure that Pennsylvania ratified the new constitution, and the document was ratified by the requisite number of states by the end of 1788. The Pennsylvania legislature subsequently elected Morris as one of its two inaugural representatives in the United States Senate. Morris declined Washington's offer to serve as the nation's first Treasury Secretary, instead suggesting Alexander Hamilton for the position. In the Senate, Morris supported Hamilton's economic program and aligned with the Federalist Party. During and after his service in the Senate, Morris went deeply into debt through speculating on land, leading into the Panic of 1796–1797. Unable to pay his creditors, he was confined in the Prune Street debtors' apartment adjacent to Walnut Street Prison from 1798 to 1801. After being released from prison, he lived a quiet, private life in a modest home in Philadelphia until his death in 1806."
