title|city|country|latitude|longitude|year|date|people|people_links|event_links|description
"The final chance for liberty"|London|United Kingdom|51.50736900265918| -0.12801077674164058|1810|01-10-1810|[]|[]|[]|"Miranda brought Bolívar and his party in contact with the English government. Bolívar and de Miranda dicussed the plans he'd been making in details for two months and Simón Bolívar painted a picture of Venezuela that got him really excited. It took some convincing because Fransisco was still embarrased about the failed Leander expedition and would leave his wife and two kids behind. In October Fransisco de Miranda set sail for his hometown, 'Caracas' where he had not been for fourty years."
|Curaçao|ABC islands|12.125601545943859| -68.88849296946837|1810|04-12-1810||||
"Starting a political party"|Caracas|Venezuela|10.482963515158941|-66.9051394718394|1810|11-12-1810|[]|[]|[]|"De Miranda wasn't very happy with the situation when he arrived, Bolívar might have exaggerated the revolutionary sentiment of Venezuela by a lot. The junta turned decisively monarchist while Bolívar and de Miranda were more radical and lobbied the junta to declare independence. To start a public independence movement they became members of a sleepy lobbying group called the 'The patriotic organisation for the development of agriculture and livestock'. They completely took over this existing lobbying body for farmers and started campaining, something that had never been done before in Venezuela because there had never been elections or even a consideration of public sentiment, but Miranda had learned the art of 'electioneering' while living in London. They started newspapers, printed radical pamflets and Fransisco started traveling around the country giving speeches arguing for independence."
"Declaring indepdence"|Caracas|Venezuela|10.482963515158941|-66.9051394718394|1811|05-12-1811|["Supreme Junta of Caracas"]|[]|["Supreme Junta of Caracas"]|"A National congress was called for to create an interim goverment until the rule of the King could be restored. Fransisco and his radical friends took this opportunity and tried to get as many of them into the National congress. Miranda ran and won the election as representative for the city of 'el Pao' in the Barcelona district. He campaigned for independence and decisively turned public opinion around in favor of declaring independence. On July 5th (day after Maundy Thursday which marks the night of the Last Supper as told in the Bible)  a delcaration of indepence was written and the first Republic of Venezuela was born. Unfortanetely the 'first' part of the official name doesn't boad well for their future."
"Trouble in Paradise"|Caracas|Venezuela|10.482963515158941|-66.9051394718394|1811|11-12-1811|["Juan Domingo de Monteverde"]|[]|[]|"As you can see on the map not all of the Venezuelan provinces joined this new Republic. These royalist provinces would resist Venezuelan dominance and together with help from Captain General Domingo Monteverde declare war on the Republic and blocade it's habours and fight to restore Spanish control over all of Venezuela. The naval blocade was devestating for the economy of the new Republic because the majority of revenues were derived from import/export duties."
"General Miranda"|Valencia|Venezuela|10.15773945142668| -67.9909847399277|1810|11-12-1811|[]|[]|[]|"The city of Valencia rose up in revolt against the new Republic, General Miranda was tasked with bringing them back into the Republican fold. He marched onto Valencia with 4000 men and fought a bloody battle with the royalists but eventually won and took back Valencia. He was ciritized for his tactics in which a lot of Republicans charged head on into the enemy but the succesfully defended himself in front of Congress. De Miranda in turn wasn't happy with the quality of his troops and frequently berated them for lack of discipline."
"Divine retribution"|Caracas|Venezuela|10.482963515158941|-66.9051394718394|1812|26-03-1812|["1812 Caracas Earthquake"]|[]|["1812 Caracas Earthquake"]|"On Maundy Thursday (the day before good friday) something happened that would define the fate of the first Republic of Venezuela. Around four in the afternoon on March 26th 1812 a huge earthquake rocked the city of Caracas. Many people were in churches for easter mass and got covered in rubble. The entire city was destroyed, an effort was made to rescue survivors and to bury the dead but there were too many, anonimous funeral pyres were made to dispose of the dead. This was a huge blow for the Republicans, especially because the Junta was established on Maundy thursday 1811. The priests and royalists grabbed their chance and proclaimed that this as divine punishment for turning their back on the King who was appointed by god, and that they should return to Spanish rule."
"Dictator de Miranda"|Caracas|Venezuela|10.482963515158941|-66.9051394718394|1812|23-04-1812|[]|[]|[]|"After a while it became clear that the Royalist parts of Venezuela had barely been affected by the earthquake. This sparked a sudden energy in the Royalist troops who Monteverde led on an invasion from Coro in the West. The Rebulican forces had been severely depleted by the earthquake and situation became desperate. The congress gave all military power to Fransisco de Miranda and three weeks later also gave him all political power. This basically made him a dictator like in the old Republican times of Rome when the future of the Republic was on the line."
"The last campaign"|Maracay|Venezuela|10.245604673915349| -67.59735414843733|1812|18-05-1812|["Simón Bolívar"]|[]|[]|"Miranda sent the young Colonel Simón Bolívar to secure the important fort in Puerto Cabello which housed the majority of the Republic's artillery. The new Dictator took the remaing men to the city of Maracay on the opposite side of lake Valencia where Monteverde was based. Morale and discipline was bad with the Republican forces, therefore de Miranda enforced strict punishments for drinking and gambling. Many men deserted, some even joining the royalist side."
"The final retreat"|La Victoria|Venezuela|10.21537498783305| -67.3222948238489|1812|01-07-1812|[]|[]|[]|"In the beginning of July a group of prisoners revolted in the fort of Puerto Cabello. They broke free, captured the fort and turned the guns on the port city. Many of Colonel Simón Bolívar's men switched sides and therefore lost the most important Republican supply of weapons. Miranda was distraught when he received this news and pulled his forces back to the town of la Victoria."
"Peace negotiations"|Caracas|Venezuela|10.482963515158941|-66.9051394718394|1812|24-07-1812|[]|[]|[]|"After losing Puerto Cabello the General knew the fight was lost, he settled into negotiations and focused on securing good terms for the rebels, such as no retributions and the safety of their property. Miranda himself made efforts to gather up his belongings and sent his books and papers to the port of la Guaira where a ship of the English navy would evacuate him. He secretly took the states gold reserves and planned on carrying on the fight in the Cartagena(present day Colombia) where a different independent Republic had been established. He unfortanetely didn't share these details with many of his officers who were increasingly angry with the way Miranda had conducted the peace negotiations."
"The betrayal"|Puerto Cabello|Venezuela|10.470415966971174| -68.0270607850169|1812|29-07-1812|[]|[]|[]|"Fransisco de Miranda arrived in the port of la Guaira at eight o'clock in the evening on the 29th of July, the captain of the English ship wanted to set sail immediately but Fransisco de Miranda decided to sleep in an inn and set sail in the morning. Early the next morning the old General was suddenly awakened by a group of officers with Colonal Simón Bolívar in the lead. They aprenhended him thinking him a traitor to the Republican cause and traded the imprisonment of Fransisco de Miranda to obtain passports so that they could leave the country. Bolívar fled to Cartagena and would eventualy liberate Venezuela, Colombia, Equador, Peru and Bolivia. He had turned on his former mentor and General would later defend his conduct thinking that Miranda tried to flee with all of Venezuela's gold."
"Leaving Venezuela for the last time"|San Juan|Venezuela|18.462840543441295| -66.12524612661187|1813|30-06-1813|["Simón Bolívar"]|[]|[]|"Fransisco de Miranda was held prisoner in the fort of Puerto Cabello for a year, when Simón Bolívar suddenly entered Venezuela from the west. He had built up an army in New Grenada and had quickly asserted himself as an important General. He started the famous of war to the death and was hellbent on liberating Venezuela en avenging himself after his embarassment at Puerto Cabello. De Miranda was quickly moved to Puerto Rico to make sure he'd stay out of the hands of the re-energized Republicans."
"The final prison"|Cadiz|Spain| 36.521087477232044| -6.279619626951156|1814|08-01-1814|[]|[]|[]|"In January of 1814 Fransisco de Miranda arrived in Cadiz and was imprisoned in 'La Caracca'. He would secretly write letters to all his friends trying to secure his release. Many of his English friends in the goverment and commerce sent money and tried to help Miranda out. He became close to making an escape attempt in 1816 when he suddenly fell ill."
"The end"|Cadiz|Spain| 36.521087477232044| -6.279619626951156|1816|14-07-1816|[]|[]|[]|"After contracting Typhus fever, the old General also got an inflamation and suffered a brain hemorrhage. On the morning of July 14th 1816 Fransisco de Miranda died of his illnesses aged sixty-six. He was buried in a small cemetery near the prison which was closed fifty years later. His remains ended up somewhere in a mass grave, an empty tomb has been erected in the National Pantheon of Venezuela for his services to the liberation of Venezuela. He himself would not be know as 'el libertador' but is now know as 'the precursor' of Latin-American indepedence."
"Thank you for reading!"|||||||[]|[]|[]|"I honestly didn't expect anyone to read untill the end, so thank you very much for your interest! I hoped you enjoyed this account of the Life of Fransisco de Miranda, he was definitely not a perfect man but lived his life to the fullest and tirelessly fought for what he fought was right."
|Munchen||48.13646667120297| 11.56242233743792||||||
|Minsk||53.89630979880487| 27.572355707539245||||||
|Warsaw||52.21672937692092| 21.014652146500776||||||
|Munchen||48.13646667120297| 11.56242233743792||||||
|Barcelona||10.146584147265772| -64.68221333418057||||||
|Angostura||8.086441002884067| -63.54403006993298||||||
|Maracaibo||10.643273555864223| -71.7774312955769||||||
|Isla de Margerita||10.96469094710504| -63.870392445053062||||||
|Rotterdam|Netherlands|51.92136277229768| 4.484111350337093||||||
|Antwerp|France|51.23005627365822| 4.400531067874842||||||
|Cartagena|Colombia|10.393611246612812| -75.48380740582746||||||
|Lisboa|Portugal|38.733252303658944| -9.15709408680669||||||
|Tangiers|Morocco|35.74938444927467| -5.844519907458644||||||
|Rabat|Morocco|33.98276392021185| -6.842866034846678||||||
|Nueva Orleans|USA|29.95972266442728| -90.05037905608128||||||
